code,areaName,-8,0,1,2,3,4,5,6
14462,8715,12361,5780,14490,29344,2602,E14000905,Rugby,20688
10623,6128,9135,3181,10783,39210,2062,E14000906,Ruislip Northwood and Pinner,19183
12182,7564,11147,3884,17895,35770,2459,E14000907,Runnymede and Weybridge,20125
9834,5723,9775,3660,14158,38517,1743,E14000908,Rushcliffe,18283
13386,9084,14683,4762,16497,34263,2148,E14000910,Saffron Walden,23024
19423,8618,12016,5202,19535,41485,2620,E14000911,Salford and Eccles,20274
11889,7887,11501,4128,14610,30468,2093,E14000912,Salisbury,17695
16602,8218,11648,6486,13911,22904,2266,E14000913,Scarborough and Whitby,15149
17441,9057,11185,5159,12042,15742,2515,E14000914,Scunthorpe,17479
14803,6908,10350,4552,13255,18878,1808,E14000915,Sedgefield,15107
11735,6592,9736,4349,12396,25026,1797,E14000916,Sefton Central,13238
13345,8535,12595,5487,15507,29107,1970,E14000917,Selby and Ainsty,19262
12137,7403,11260,3692,12024,29592,1877,E14000918,Sevenoaks,19645
6703,4220,7395,2913,13554,37389,1367,E14000922,Sheffield Hallam,15198
16177,7863,9917,4868,11587,23004,1868,E14000923,Sheffield Heeley,17756
17449,9240,12445,5499,15745,22677,2163,E14000924,Sherwood,18968
12600,7475,10491,4845,13443,29086,1856,E14000925,Shipley,17626
13656,8393,13463,5719,15900,31803,2300,E14000926,Shrewsbury and Atcham,18453
22265,12598,15561,6300,17242,21147,2977,E14000927,Sittingbourne and Sheppey,24591
12485,7443,11597,5400,14439,31966,1940,E14000928,Skipton and Ripon,15766
16590,10035,14976,6460,19462,30457,2603,E14000929,Sleaford and North Hykeham,20194
13045,7274,11212,3784,13456,32079,2142,E14000931,Solihull,18649
14378,8927,13502,5551,16200,31675,2309,E14000932,Somerton and Frome,18847
18402,10932,13816,4495,14078,18275,2432,E14000933,South Basildon and East Thurrock,20779
